name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Joël Piroe,FWD,Leeds,-0.5,0,0,0,0,0,0.0,0,362,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,18,0,0,0,0,0,7,0,62529,0,0,,,0.0,0,-7989,1675,9664,52,True,0
Yankuba Minteh,MID,Brighton,5.0,0,0,0,0,0,0.0,0,160,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,20,0,0,0,0,0,7,0,428481,0,0,,,0.0,0,234938,256757,21819,59,False,0
Toby Collyer,MID,Man Utd,0.0,0,0,0,0,0,0.0,0,460,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,17,0,0,0,0,0,7,0,4685,0,0,,,0.0,0,-303,0,303,45,True,0
Lyle Foster,FWD,Burnley,2.0,0,0,0,0,0,0.0,0,217,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,2,0,0,0,0,0,7,0,273785,0,0,,,0.0,0,29276,56771,27495,50,False,0
Fer López González,MID,Wolves,1.0,0,0,0,0,0,0.0,0,645,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,6,0,0,0,0,0,7,0,3805,0,0,,,0.0,0,-173,55,228,53,True,0
Alan Browne,MID,Sunderland,0.0,0,0,0,0,0,0.0,0,555,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,14,0,0,0,0,0,7,0,5695,0,0,,,0.0,0,-505,0,505,45,False,0
Bafodé Diakité,DEF,Bournemouth,2.5,0,0,11,0,6,1.4,6,685,0.04,0.04,0.00,0.89,63,1,0,2.9,23.4,2025-10-03T19:00:00Z,90,False,10,0,0,0,4,0,7,0,59181,1,0,1,3,4.0,2,1192,5494,4302,45,True,0
Antonee Robinson,DEF,Fulham,0.2,0,0,0,0,0,0.0,0,316,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2025-10-03T19:00:00Z,0,False,4,0,0,0,0,0,7,0,92565,0,0,1,3,0.0,0,-2393,4598,6991,50,False,0
Fábio Ferreira Vieira,MID,Arsenal,0.0,0,0,0,0,0,0.0,0,23,0.00,0.00,0.00,0.00,61,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,19,0,0,0,0,0,7,0,2899,0,0,,,0.0,0,-133,0,133,54,True,0
Charlie Crew,MID,Leeds,0.0,0,0,0,0,0,0.0,0,359,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,18,0,0,0,0,0,7,0,581,0,0,,,0.0,0,-20,0,20,45,True,0
Youri Tielemans,MID,Aston Villa,0.0,0,0,0,0,0,0.0,0,48,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,3,0,0,0,0,0,7,0,92455,0,0,,,0.0,0,-14861,69,14930,59,True,0
Toti Gomes,DEF,Wolves,0.8,0,0,0,0,0,0.0,0,637,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,6,0,0,0,0,0,7,0,14586,0,0,,,0.0,0,-830,153,983,44,True,0
Josh Acheampong,DEF,Chelsea,-0.5,0,0,0,0,0,0.0,0,233,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,False,12,0,0,0,0,0,7,0,147749,0,0,,,0.0,0,-13421,2030,15451,40,True,0
