id,xP
369,0.5
370,1.7
371,1.7
372,0.7
373,4.0
374,4.5
375,1.3
376,0.5
377,0.0
378,0.5
379,0.5
380,0.5
381,4.5
382,1.7
383,0.0
384,2.0
385,1.5
386,1.7
387,2.7
388,1.0
390,7.0
392,0.5
393,0.0
394,0.0
395,0.0
396,0.5
397,0.0
398,0.5
499,1.3
661,2.2
686,1.0
692,0.0
182,0.5
399,0.0
400,0.5
401,0.5
402,0.0
403,3.5
404,0.0
405,1.3
406,0.0
407,3.7
408,3.0
409,0.7
410,0.7
411,4.0
412,0.0
413,0.0
414,4.5
415,1.5
416,2.5
417,0.0
418,6.3
420,0.0
421,2.3
422,0.5
423,1.5
424,1.0
425,0.0
427,4.0
428,0.0
429,0.5
430,10.0
736,2.7
739,0.5
740,0.5
742,0.5
119,2.3
431,2.0
432,0.0
433,0.0
434,0.5
435,0.5
436,2.0
437,0.0
438,0.0
439,0.5
440,0.7
441,2.0
442,3.7
443,1.5
444,1.3
445,0.0
446,0.5
447,0.5
448,0.5
449,3.3
450,1.3
451,0.0
452,1.5
454,0.0
455,1.0
457,1.5
458,1.3
459,2.3
460,0.0
461,0.5
462,0.5
463,0.5
464,0.0
465,0.0
466,1.0
467,0.5
468,0.0
681,3.3
733,0.5
52,0.5
135,0.0
469,4.5
471,0.5
472,0.0
473,2.3
474,2.5
475,3.5
476,4.3
477,0.0
478,2.5
479,0.5
480,0.7
481,0.5
482,0.5
483,0.5
484,0.0
485,1.3
486,1.3
487,1.7
488,1.5
489,3.5
490,2.0
491,3.5
492,0.0
494,1.5
495,0.0
496,0.0
497,1.3
498,0.0
500,1.3
501,0.5
674,0.5
684,3.0
689,0.5
714,5.0
12,0.1
426,0.0
502,1.0
503,0.0
504,0.0
505,0.5
506,0.2
507,0.0
508,2.3
509,0.0
510,-0.5
511,0.5
512,0.0
513,-0.5
514,-0.5
515,0.7
516,0.3
517,2.3
518,0.0
519,-0.5
520,0.0
521,0.3
522,-0.3
523,0.0
524,0.0
525,0.7
526,0.0
527,-0.5
669,0.7
675,-0.5
693,-0.3
696,0.3
699,0.0
715,-0.5
716,-0.5
729,0.0
734,0.5
528,-0.5
529,-0.5
530,-0.5
531,0.0
532,3.5
533,0.0
534,-0.5
535,0.0
536,0.0
537,0.0
538,-0.5
539,-0.5
540,-0.5
541,0.0
542,0.0
543,0.5
544,0.0
545,0.0
546,0.0
547,0.7
548,0.0
549,-0.3
550,-0.5
551,0.3
552,1.0
553,1.5
554,-0.5
555,0.0
556,0.0
557,-0.5
558,-0.5
559,0.0
560,2.7
561,-0.3
562,-0.5
563,0.0
564,0.0
668,4.0
670,5.0
678,-0.3
683,7.0
694,4.5
724,0.3
730,0.0
735,-0.3
565,3.3
566,0.5
567,0.5
568,2.5
569,4.5
570,0.7
571,0.5
572,0.0
573,2.5
574,1.5
575,4.7
576,0.0
577,0.2
578,0.0
579,0.0
580,1.3
581,0.0
582,3.5
583,0.0
584,1.5
585,1.5
586,4.5
587,0.2
588,1.5
589,0.0
590,0.0
591,0.7
592,0.0
593,3.5
594,0.0
595,0.5
596,0.0
597,3.5
598,0.0
599,0.5
673,4.5
717,2.5
726,0.0
149,-0.3
600,0.5
601,0.0
602,-0.5
603,1.7
604,0.0
605,1.0
606,1.3
607,0.0
608,-0.5
609,-0.5
610,-0.5
611,0.0
612,1.3
613,0.0
614,0.5
615,1.0
616,0.0
617,0.0
618,-0.5
619,0.3
620,0.0
621,0.0
622,0.0
623,-0.3
624,4.5
625,0.3
626,-0.5
659,0.3
671,0.0
679,-0.3
708,1.0
718,0.0
738,-0.5
627,1.2
628,0.2
629,0.0
631,2.0
632,0.0
633,1.8
634,0.8
635,0.5
636,3.0
637,0.8
638,0.0
639,0.0
640,0.0
641,0.0
642,0.8
643,1.8
644,0.8
645,1.0
646,2.2
647,0.0
648,1.2
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.6
655,0.0
656,0.0
657,0.0
658,0.0
663,1.8
682,0.0
695,0.8
709,2.5
720,1.2
